nhẹ tễnh
đinh nhọn
xi vàng
ninh xương
ninh nhừ
cục thuế
chân trái
chân dài
chân tường
đích đến
ngốn tiền
đan túi
đan điền
lọt khe
cộc cạch
khố vải
nhạc phim
mầm xanh
gông cổ
gông xích
cưới vợ
sang nghèo
điểm chạm
cây trái
sống ảo
tăm tre
gái ngoan
gái hư
nhoẻn miệng
độ kiếp
sống chung
trưởng đội
lọt top
sương trắng
giữ sức
sương sớm
giữ của
giữ mạng
cả lớp
cả đời
son sắc
học bá
buốt răng
buốt nhói
buốt óc
cầu cơ
sao sáng
nâu lạnh
miệng môi
nâu sẫm
gà tre
nâu đỏ
nâu nhạt
khúc gỗ
khúc nhạc
tâm ma
bỏng rát
bỏng tay
vi sư
quyền vương
chung sức
ghép ảnh
tố hữu
lò nướng
niệm khúc
lò tôn
tuyết trắng
tuyết xốp
tuyết mềm
lò thiêu
tuyết tan
phẳng lỳ
lò đốt
tiếc tiền
chỉ vàng
kim châm
bìa cứng
buồng thiêu
lạ lắm
mười năm
hai mốt
kiến chúa
miên khởi
bộ nhá
sông lam
nhện độc
nhện nhỏ
trị nám
nhện đen
súng bắn
nhện giăng
trắng da
súng tỉa
nhân tông
bơi nhanh
suối nguồn
suối nước
sao trời
cốc trà
cốc nước
mạc bắc
mạc khải
mạc nhược
lửa đỏ
đờn ca
trương phình
từ mặt
chồi non
chồi lên
chồi lộc
chồi cây
chồi hoa
chồi ngọn
chồi xanh
chồi mới
chồi biếc
mỏi tay
hột mít
hột nhãn
hột đào
vật cản
phơ phớ
răng khểnh
răng mực
đực cái
sam biển
sam đất
sam hương
cưa chân
xẻ thịt
mắt môi
mắt chó
mắt mèo
mắt lồi
mắt lõm
mắt nai
bế quan
van nước
xẻ đôi
sương sáo
đố vui
đố nhau
đố câu
đố mẹo
đố tìm
đố biết
đệm giường
đệm êm
đệm ấm
đạn súng
đạn bạc
đạn vàng
đạn nhựa
tạng tâm
tạng can
tạng thư
chuẩn rồi
chuẩn chỉ
nhận xác
nhận tiền
chung nhà
bờm ngựa
bờm tóc
lò nung
điểm trừ
bới rác
vu nữ
gà mên
khẩu hình
khẩu nghiệp
lợi khuẩn
cọ vẽ
muối mặn
hơi ấm
hơi ẩm
phòng bao
trội lên
trội nhất
đuối nước
giờ học
trội hơn
suối trong
tích phước
phúc cháu
rung lắc
rung chấn
nặn mụn
nặn bánh
lộc phát
phổi heo
phổi người
giá băng
giá cao
xiếc người
xiếc dây
làng lá
treo thưởng
nặn tượng
dịch tiết
nặn hình
hồn xác
chốt cửa
chốt khoá
tương cà
vụ mùa
lệ tuôn
chát đắng
trướng mắt
phó bang
nguồn suối
nguồn nước
xứ thanh
não tàn
đận đói
mụn đen
bào đá
mi trắng
điểm kém
điểm cộng
điểm đến
cổng nhôm
chay trường
phí thuế
phí tiền
phước lợi
xuyên không
xuyên thấu
rinh về
lướt qua
ghi dấu
kíp lái
chí khôn
dắt bò
chân ngắn
chân cụt
vùng da
vách núi
dầu xả
phép màu
nghìn đồng
nghìn tỷ
nghìn tỉ
hỏi nhau
đến kỳ
gỉ sét
báo giấy
chốt chặt
vài hôm
thư mời
khuya nay
nét riêng
nét nhăn
móc len
hết tiền
cúc áo
thoã mãn
hẹn giờ
hẹn gặp
đếm từ
đếm số
đếm ngược
xám tro
cóng người
cóng tay
cóng lạnh
quất roi
xin nghỉ
mắt trái
thang cân
xới cơm
xới đất
là ủi
xới tung
xới lộn
xới lên
thành đạo
hẻm ngõ
hẻm nhỏ
hẻm núi
mắt lé
mũi miệng
tẹt ga
điểu táng
sen nước
sen non
vỡ tan
vỡ òa
hề hước
vỡ nát
vỡ bát
vỡ hết
thái thịt
ngóng về
đợi tí
đợi tin
thoã sức
muốn gì
muốn có
muốn làm
thoã lòng
quả dừa
quả khế
quả táo
truyền thừa
từ phía
vì nhau
dạng như
hành lá
hàng nóng
dỡ tường
dỡ nhà
mặt cười
mặt bàn
vụn giấy
duyên âm
lử lả
cao thấp
vo tròn
hẻm cụt
hẻm lớn
thêm vào
mủ mít
bạc trắng
nối từ
hồn quê
hồn long
bâu áo
mép lá
mép nước
ráng chịu
ráng chiều
họ tên
mép giường
hàm mặt
tứ đại
lập bảng
ngủ nghỉ
tiền tỉ
nhện chúa
nhện to
nhện con
nhện tơ
xáo măng
nhện nước
tạ điền
nhện hùm
nhện đỏ
nét căng
nét mực
đổ nước
rừng lá
rừng sâu
thu vàng
cứ địa
tuồng cổ
tốn công
khách điếm
hồ câu
ráo nước
đới lạnh
đới nhiệt
cự cãi
đới lưu
đới bờ
đới ven
đới nóng
đới rừng
cháy rừng
cháy máy
cháy lớn
cháy khét
hiếm gặp
hiếm khi
hơi giống
viết văn
tiễn người
tiễn đi
viết bài
viết sách
viết nhạc
thu tiền
buộc chặt
buộc thắt
vẻ đẹp
tóc buộc
tóc dài
tám chuyện
khiên sắt
sả cây
sả chanh
khiên chắn
báo hoa
bướm xinh
thềm nhà
thềm đá
thềm bậc
thềm gỗ
thềm cửa
thềm sân
chúa hề
chúa giáo
sá sùng
rết đỏ
rết độc
rết cắn
đủ để
đốn hạ
đốn củi
tụ bài
họp bang
hướng tới
chơi game
mặt người
đường quyền
cáo tuyết
toán hình
cáo đỏ
chú bác
điền xá
mục rữa
ngoài việc
thả câu
cốm dẹp
cốm non
hùng hồ
tầng trệt
nút bạc
bì heo
mặt sau
tha mạng
tông sư
tông màu
đạn bắn
lên núi
lên hương
giòi bọ
giòi xanh
giòi nhặng
ngựa non
bung xòe
lên báo
giàn khoan
giàn xếp
nạp tiền
nạp thẻ
nạp mực
nạp khí
nạp lại
sườn non
hạ gục
tì tiện
vải khô
vải mỏng
vải trắng
vải hồng
vải rách
vải cuốn
vải lụa
thuốc uống
lực căng
nhện đực
nhai kẹo
nhai kỹ
nhện bò
nhện lớn
ép tim
ép cọc
ép nước
ép dẻo
ép kính
ngoài cổng
thường khó
sớm nhất
dính chưởng
tách nhau
tách hạt
nhân mã
phường xã
phường thợ
guốc gỗ
thét lên
dối gian
dối lừa
dối tình
guốc mộc
dối lòng
lớn hơn
vơi bớt
tết đến
tết dương
tết giáp
bón cây
vân tay
vân gỗ
vân môi
vân mây
rìu vàng
vê tròn
mỡ heo
mỡ bôi
sàn đấu
mì gói
mì cay
mì gõ
mì tươi
mì gạo
mì chín
địa sát
nhái khô
hợp nhau
chất tẩy
xịt sơn
xịt nước
vở ghi
xịt khoáng
làng chài
non tơ
tách vỏ
vương tử
máu chảy
tách ra
máu đỏ
máu tuôn
dạng bài
lỡ nhịp
dạng tròn
hò đò
hò hát
ứng tiền
khan cổ
tầng lầu
tầng mây
chơi bóng
lớp phó
lớp trưởng
mũi két
bét bảng
miệng xinh
miệng hôi
miệng đời
nguyệt quang
ngạch cửa
chân trần
nổ lớn
hình sao
bay lắc
khuẩn lam
mút mát
lộc trời
mút xốp
lõng lẻo
váng sữa
váng đậu
pha trà
lượng từ
búa chim
lửa trời
tai heo
tai phật
mắt nhìn
mắt mù
mắt to
nhị thập
nhị ca
mắt sáng
nách thâm
váy vóc
tùng tằng
thượng thừa
bát đũa
bang chủ
bát bún
bát cơm
bát tô
sách mới
vở trắng
găm kim
găm dao
găm hàng
xác khô
xác sống
xác gà
lát đường
ốc luộc
đảo vần
đục đẽo
đảo rang
đảo lạc
đục tường
đục đá
quán nhậu
đục lỗ
mắt thâm
đục nước
thưa thầy
mực in
mực tươi
gạt cần
bỏ việc
đêm dài
đêm trăng
đêm thâu
tối khuya
pháo giấy
ra xa
lối mòn
bé ngoan
lối nhỏ
bỏng rộp
ngô rang
lương thưởng
dạng người
dạng thường
dạng sống
lời nhắn
theo chân
loét miệng
má lúm
thức muộn
chóp mũi
lè khè
nhất nhì
sách toán
găm đinh
nhà sang
lộn mèo
mắt chột
tộc nhân
bảng giá
bảng viết
yếm đào
móc khóa
móc treo
móc áo
bảng phấn
móc điện
móc lốp
móc mũi
nhung gấm
mai sớm
vọng lại
dốc thẳng
dốc núi
xào thịt
xào đỗ
xào chua
xào rau
nhộng chũn
nhộng tằm
hồi chuông
réo tên
réo gọi
trả phí
muỗi đốt
muỗi chích
thép nguội
rời đi
gấu rừng
sọ não
sọ người
đôi bờ
sọ heo
đôi dép
dừa khô
dừa dâu
dừa nạo
lọng che
lọng vàng
dao sắc
giếng nước
lục ngạn
giếng khô
lọng tía
xám đen
trạch đất
đắp mồ
đắp chăn
chất thép
xịt keo
xịt máu
xịt dưỡng
xịt muỗi
xịt thuốc
xịt phòng
xịt mũi
chảy nước
xịt khói
xịt tóc
chảy ngược
băm nhuyễn
sườn cây
sườn chiên
sườn cay
sườn xám
sườn đồi
chép giòn
láy đôi
voi bản
tóc xoăn
voi chiến
xuống biển
đen huyền
bọt tuyết
chuông điện
hội sách
xuống đồng
chuông chùa
viên phấn
hậu thư
đồ sát
nhận lộc
chích điện
chích cá
nhận đồ
nhận phúc
tai thính
trạch nữ
thần chưởng
đuối lả
bạch xà
giả lập
đít chảo
đít nồi
nỗi đau
đít chai
đít xoong
dứa chín
hụp xuống
hụp sâu
hiên nhà
khương hoàng
chốt sổ
chốt chặn
chốt lời
lưỡi dài
lưỡi bò
rét lạnh
rét run
mửa ra
khê khét
khê nồng
khê sặc
thổ độn
khê đặc
khê ẩm
đoạn tiệt
đoạn đường
răng sâu
đoạn tụ
răng sún
đoạn kết
lê bước
hóc xương
tạ đơn
sơn tặc
sơn nhà
bú sữa
ra đây
về đi
ướp thịt
bụng bự
bụng to
lạc quẻ
tuồng tích
tuồng đời
tuồng hát
sơn tường
sơn cửa
sơn đen
lệnh bài
lệnh vua
đản sinh
nghiệm kép
nghiệm nguyên
hò dô
xưa cũ
chú cháu
nghiệm lý
thu đông
biển sâu
son hồng
son đỏ
hồi kết
tai xệ
bở hơi
bở ra
bở nát
thiên đế
lọc trà
lọc sạch
ngày dài
cột đình
điện giật
đá lỡ
gói bánh
phách nhạc
trời trong
quả xoài
xưa xửa
nghề trộm
rút quẻ
binh tướng
cỡ chữ
cỡ đại
mà má
sả ớt
cỡ bự
vía thiêng
van ga
mắt bò
bay vèo
bay cao
kho xưởng
kho đồ
kho hàng
gọt mặt
kho cá
nén hương
nén lại
nén nhang
trận game
nén khí
lẽ loi
sống trọn
sống trẻ
lương cao
đời tống
thiện lương
thôn làng
tính phí
mủ cây
nuôi chim
tỉa lông
sót mót
hai hàng
sót thương
trảm tướng
hai tư
bần hèn
trảm thủ
ốc núi
đụn gỗ
đêm qua
soát bài
soát lại
giũa móng
vé phim
môi dưới
vé tàu
giũa sắt
giũa tròn
giũa dao
giũa nhẵn
vé vàng
giũa mài
vé xe
cắp trộm
viên chiên
xì khói
xì tin
nám da
đống củi
nám mặt
cậy mạnh
cậy của
cậy quyền
thân mời
nám sạm
cậy chức
muội muội
củi bếp
mạc nhiên
củi tro
chét vữa
liệu rằng
heo sữa
cục sạc
heo vàng
cục vàng
cục gạch
heo đất
dẫn đi
xanh đỏ
môi đỏ
gan hùm
môi mọng
tửu lâu
mị lực
nhận hàng
tay thuận
tửu ly
lái lụa
tăng cấp
bàn trà
mi nhon
quạu quạu
canh ba
khuya vắng
nút thắt
nghệch mặt
bò húc
bò viên
mồm nói
sùi mào
bầu bì
mép đường
ngô luộc
tranh thêu
lửa thiêng
hán tử
úp sọt
úp rổ
úp chén
ngô sắn
màn chiếu
ngô non
rẽ ngôi
rẽ lối
hầm cầu
hầm bom
gan heo
giá rẻ
hương trầm
lây bệnh
rẽ trái
rẽ vào
trường nghề
trời nồm
mạc phủ
nhà mạng
đề thi
ghép lại
ghép hình
lĩnh ngộ
xay đá
hẹp dài
canh me
cơ bụng
hẹn nhau
hẹn em
tỳ hưu
viết chữ
ho ho
máu đông
mép tủ
mộ đá
vị vua
chanh vàng
da báo
người nghèo
chanh muối
chanh dây
gửi đến
gửi đi
chêm xen
chêm lời
vai gáy
quét nhà
quét mã
quét sân
quậy đục
phá lấu
mấy hôm
tịnh thất
tịnh dưỡng
lưng cong
tịnh tâm
bốn bánh
ngoái lại
sơn nước
thôi rồi
rỉ nước
sính ngoại
nổi hứng
loét ruột
loét họng
lính mới
bịch thuốc
loét da
bịch rác
loét mắt
muốn ngủ
nanh sói
nanh độc
loét loét
nanh hổ
thui lửa
được mất
thui chó
thui bò
trói chặt
thui heo
lủi đi
lủi vào
liệu mồm
cùm cum
quán phở
xíu xiu
dâm dê
dâm tặc
hoãn thi
giống cây
giống tốt
thai to
thai kỳ
thai kì
cán bột
vía mạnh
vía yếu
vía rén
vía hay
gác chân
gác đêm
bét nhẹt
loa phường
loa to
loa nhỏ
giải nhất
vi cá
thời không
kiếp này
kiếp nạn
bóc trứng
quả na
thuốc lắc
thuốc đắng
tuyến vú
giày bệt
giày nhảy
đứt dây
đứt tay
hồn xiêu
vía tốt
vía lành
vía dữ
chiêng đồng
đan len
đan giỏ
lơi lơi
viên tròn
vãng sanh
độ cận
rừng dừa
liễu châu
rừng trồng
dòng suối
nước cạn
mồm điêu
mồm rộng
đoạn thơ
đoạn văn
nhạn trắng
nhạn đen
cọc tiền
cọc khoan
cọc gỗ
mắt cận
mắt phải
quánh đặc
quánh lại
học dốt
lắm mối
vai diễn
hơi nóng
hơi gầy
nước trong
ngắt hoa
quả chuối
quả pháo
vay vốn
quả cóc
quả mận
đất ruộng
lết xác
đẻ mổ
bê con
điệu nhảy
sỏi thận
sỏi mật
sỏi cuội
sỏi cứng
sỏi đá
om dưa
máu kinh
nhện tinh
liệu miệng
tin mật
tin báo
tu đạo
suất cơm
rẽ hướng
tường nhà
tắt ngúm
thanh mát
chơi cờ
muối tinh
phá nhà
rang lạc
rang tôm
rang ngô
phong long
lõi ngô
kho vàng
theo chồng
biển số
muội tử
láy lại
láy điệu
lợn béo
cú đêm
cú lừa
nhạt dần
cào xước
nộ hoả
thù dai
mỏ khoáng
hoạn thư
cung đấu
hóc cổ
hóc họng
thần đèn
mạng internet
đốm đỏ
đốm lưỡi
đốm trắng
đốm đen
ép ngực
kế tử
đốt nhánh
đốt lửa
truyền nối
mai đào
giải nhát
chết queo
sống bẩn
quả roi
quả đắng
thuế khoán
nỡ đành
nỡ lòng
sánh bằng
chĩa mũi
cãi cùn
lui quân
lui ra
bầy đàn
cắc bạc
bầy con
rau củ
chèo thuyền
triệu bạc
bùng mụn
bùng kèo
lính nguỵ
lính cũ
sụn mũi
sụn gà
sụn khớp
pha tối
pha nước
pha mì
sơn sửa
mắt kiếng
miệng mũi
tuyền châu
ải quái
môn toán
trà sữa
gà rán
trà xanh
gà nướng
gà kho
gỗ mộc
xỉu ngang
nút giao
nút ấn
xuân thì
xuân sang
dính chặt
gan to
thiếp đi
gái trẻ
mạo phạm
được mà
nổ đùng
tai phải
thuốc cảm
mắt lòi
biết tuốt
chùa vàng
văn mẫu
thi cốt
lộ hàng
bạ đâu
hầm thịt
mủ vàng
độ xe
nặn đất
nặn gốm
nặn mặt
chuyện nhỏ
giỡn chơi
cối chày
khoan đất
rơn rớm
rộ bông
rộ tin
rộ lên
rộ ra
đường đua
cầu cây
vọng âm
xe độ
tăng xông
đuôi mèo
dưới đất
dùng thử
dùng súng
ngủ sớm
hầm ngục
loại người
sói con
kính ngữ
kính gửi
tượng vàng
đuôi xe
đuôi tóc
đan tre
quế thanh
đồ điên
bán nhà
bời rời
nhủ thầm
giác hút
lá xanh
xay mịn
dầu gấc
dầu hào
mỡ lợn
xay lúa
xay hạt
huyết tế
phiếu ăn
phiếu thu
cùm cụm
cúm ho
cúm cảm
hậu vị
trèo cao
sụn tai
sụn xương
tấu chương
viết sai
viết thơ
cóng cóng
tường gỗ
lĩnh thưởng
sà xuống
nhạc buồn
liềm liệm
đá lạnh
liềm sắt
lên đầu
lĩnh án
chum đồng
chum đựng
chum rượu
chum nước
chum vại
húp nước
húp cháo
sáp lại
sáp gần
húp canh
đạn pháo
hỏi chấm
dò mìn
đề nháp
dây thừng
đạo dụ
vị mặn
vị chua
điện bàn
sông dài
bướm chúa
bướm vàng
lựu đỏ
của quý
vận may
nâu đất
chu di
tài lẻ
lanh lẹo
mủng tre
bi tròn
đất thổ
lửa than
trúc tre
lửa điện
nắng hè
đoán vận
đoán xem
sách văn
sơn móng
trượng nghĩa
hỏa ấn
dương khí
bước đến
chợ hoa
chợ đêm
nguyện thề
than tre
than hồng
trông trẻ
bám dai
mong cầu
bám đuôi
ngộ không
chín cựa
gác mộ
gác mái
cổng thành
cổng sạc
cổng trường
cổng trời
cổng làng
hồng cam
hồng thắm
vật chứa
bột sữa
bột phấn
toát lên
si đa
đỏ đô
minh mạng
cốt đột
cân kí
cân ký
điểm mạnh
lên dốc
nhớt máy
hưng yên
móc mắt
trọng tình
trọng nghĩa
chết ngắc
ký cóp
quả chay
mỹ tho
giặt áo
bổ gan
tủ đồ
chuẩn chỉnh
phó trưởng
phó chủ
phó thủ
phó giám
khen khéo
thở gấp
quay xuống
huệ trắng
cấm túc
hố sâu
bạnh ra
điểm mười
loa đài
loa loa
loa nén
kèn sáo
kèn xe
đũa thần
kẹt tiền
kẹt xỉ
xe sang
tán thủ
tán cây
nhớt đen
giáo quan
việc riêng
bếp nướng
bếp lửa
bếp điện
già khú
lầu cao
dạt ra
cả đám
đào mộ
cả đàn
áo hoa
bò trườn
tùng cheng
hợp thể
hán phục
cửa gỗ
lụa ren
kê thuốc
giữa đời
giữa sông
giữa sân
nhủ con
xẻ tà
xẻ cao
tông lào
kinh thiên
máng điện
tạo dáng
xẹp nát
xẹp lốp
xẹp bóng
xẹp phổi
xẹp đốt
cương cứng
trị xạ
tâm tịnh
tót lên
thưa ngài
tấu hề
quẹt thẻ
quẹt xe
quẹt quẹt
xẹp bánh
quẹt rác
quẹt diêm
quẹt sơn
bày mưu
cỏ xanh
vụ trộm
gạo ngon
gạo thơm
tay bẩn
sống khoẻ
siết eo
sống khỏe
sót sa
hơi khê
mũi lợn
chĩa dao
gái hiền
bóng banh
nhạt toẹt
nhạt nhòe
rang cơm
rang muối
rang bơ
rang bắp
rào sắt
bùn nhão
bùn đất
bám dính
sông suối
sông quê
giấy dán
giấy chứng
cung gỗ
ngồi khểnh
rình trộm
đong đầy
đong đếm
lỡ như
lỡ đất
bớt đi
hét giá
mò cua
mò tôm
mò sông
chất cấm
tộc kinh
mò biển
tiết lợn
bã chó
đậu mềm
tàu đắm
tàu dừa
phận nô
rơn rỉ
sụn vi
sụn cánh
sụn sườn
tâm quan
khối lớp
rút nước
nhánh lan
mủ tai
nhánh nhỏ
nhánh mới
véo má
ve chó
trúc non
máu tanh
cóng đơ
nỗi nhớ
vấn đạo
khoán việc
xuân về
chủ đất
cảng tàu
cảng thuyền
dựng xây
khóc lớn
lóc chóc
lóc xương
lóc thịt
chuối chiên
triệu đồng
mời bác
tạng gầy
tạng tỳ
nơi trốn
gái lùn
khảm trai
phi tử
tía má
khảm nạm
ngàn lớp
bảy ba
bảy màu
sông sâu
mưa rơi
cướp trộm
ảnh hậu
ảnh thờ
dạ chửa
dò vé
nhuyễn nát
loa ngoài
kèn lá
trải lòng
nhập hồn
còn gì
còn non
dùng từ
này nè
dùng tiền
dùng để
gác đền
bụng đói
giáp tết
tảo lục
chó mẹ
việc vặt
đông trùng
đông đá
lính lác
rã đông
chọi chim
mừng xuân
gà viên
vang trời
gà luộc
trường chuyên
dã tượng
suối reo
trâu vàng
cá hấp
sữa mẹ
cá nướng
sữa tắm
sữa dâu
phim ma
nghịch ngu
phim hài
phim nhật
phim hàn
đếm tiền
long châu
tranh hoạ
to to
dục tốc
vút trời
thử tài
phố cổ
dưới chân
dưới nền
dưới tuổi
sảy thai
sảy chân
lông nách
lông chân
tránh thai
tay cụt
dương thọ
pháp trượng
lòng mẹ
tạ thóc
mụn cám
chiếc lá
gươm sét
giỏi nhất
dụ hoặc
lượt đăng
hẹp khít
động khẩu
động tay
lại qua
người chết
cướp tiền
lia thia
hận đời
vọng cảnh
bò né
nong nia
nấc cục
chân long
luận đạo
đôi bạn
dung nhang
quân binh
vuông tôm
tắt đài
dàn sao
dàn pháo
hè về
hè này
soi cầu
sương sương
mảng thịt
mảng tường
bão lửa
